Source IP           Destination IP      Source Port    Destination Port    HTTP Request / Response                 
===================================================================================================================
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/panels/js/panels.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/all/modules/jcarousel/js/jquery.jcarousel.min.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/all/modules/jcarousel/js/jcarousel.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/views/js/base.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/views/js/ajax_view.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/views_nivo_slider/js/jquery.nivo.slider.pack.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/views_nivo_slider/js/views_nivo_slider.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/ticketyboo/ticketyboo.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/js/jquery.bgiframe.min.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/js/hoverIntent.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
