868 5.30797 1.24449
869 5.49636 1.25758
870 5.6783 1.26936
871 5.85441 1.27996
872 6.02522 2.27996
873 6.19119 2.1895
874 6.35271 2.10809
875 6.51013 2.03481
876 6.66373 1.96887
877 6.8138 1.90952
878 6.96056 1.8561
879 7.10423 1.80803
880 7.24499 1.76477
881 7.38301 1.72583
882 7.51846 1.69078
883 7.65147 1.65924
884 7.78216 1.63085
885 7.91066 1.6053
886 8.03707 1.58231
887 8.16149 1.56162
888 8.28402 1.54299
889 8.40473 1.52623
890 4.20237 1
891 4.44033 1.02631
892 4.66554 1.04999
893 4.87987 1.0713
894 5.0848 1.09049
895 5.28146 1.10775
896 5.4708 1.12328
897 5.65359 1.13727
898 5.83047 1.14985
899 6.00198 1.16118
900 6.1686 1.17137
901 6.33071 2.17137
902 6.48867 2.08055
903 6.64278 1.9988
904 6.79332 1.92523
905 6.94052 1.85902
906 7.08461 1.79943
907 7.22576 1.7458
908 7.36415 1.69753
909 7.49994 1.65409
910 7.63328 1.61499
911 7.76428 1.5798
912 7.89308 1.54814
913 8.01977 1.51963
914 8.14446 1.49398
915 8.26725 1.4709
916 8.38821 1.45012
917 8.50742 1.43142
918 8.62497 1.41459
919 8.74091 1.39944
920 8.85531 1.38581
921 8.96824 1.37354
922 9.07974 1.3625
923 9.18988 2.3625
924 9.29869 2.25256
925 9.40624 2.15361
926 4.70312 1.07681
927 4.91574 1.13065
928 5.11917 1.1791
929 5.31452 1.22271
930 5.50268 1.26196
931 5.68441 1.29729
932 5.86033 1.32908
933 6.03097 1.35769
934 6.19678 1.38345
935 6.35815 1.40662
936 6.51543 1.42748
937 6.66891 1.44625
938 6.81886 1.46315
939 6.96551 1.47836
940 7.10908 1.49204
941 7.24974 1.50436
942 7.38768 1.51544
943 7.52304 2.51544
944 7.65597 2.42542
945 7.78658 2.3444
946 7.91501 2.27148
947 8.04135 2.20585
948 8.16571 2.14679
949 8.28817 2.09363
950 8.40883 2.04579
951 8.52775 2.00273
952 8.64501 1.96398
953 8.76069 1.9291
954 8.87483 1.89771
955 8.98751 1.86946
956 9.09878 1.84404
957 9.20868 1.82115
958 9.31727 1.80056
959 9.4246 1.78203
960 9.53071 1.76534
961 9.63563 1.75033
962 9.73941 1.73682
963 9.84209 1.72466
964 9.94369 1.71371
965 10.0443 2.71371
966 10.1438 2.60386
967 10.2424 2.505
968 10.34 2.41602
969 10.4367 2.33594
970 10.5326 2.26386
971 10.6275 2.199
972 10.7216 2.14062
973 5.3608 1.07031
974 5.54734 1.12383
975 5.72761 1.17199
976 5.9022 1.21534
977 6.07163 1.25435
978 6.23633 1.28946
979 6.39668 1.32106
980 3.19834 1
981 3.511 1.01605
982 3.79582 1.0305
983 4.05927 1.0435
984 4.30562 1.05521
985 4.53787 1.06574
986 4.75824 2.06574
987 4.9684 1.97522
988 5.16967 1.89375
989 5.36311 1.82043
990 5.54957 1.75444
991 5.72976 1.69505
992 5.90429 1.6416
993 6.07366 1.59349
994 6.2383 1.55019
995 6.3986 1.51123
996 6.55489 1.47616
997 6.70745 1.44459
998 6.85653 1.41619
999 7.00238 1.39062
1000 7.14519 1.36761
1001 7.28514 1.34691
1002 7.42241 1.32827
1003 7.55714 1.31149
1004 7.68946 1.2964
1005 7.81951 1.28281
1006 3.90975 1
1007 4.16553 1.01414
1008 4.40559 1.02687
1009 4.63258 1.03832
1010 4.84844 1.04863
1011 5.05469 2.04863
1012 5.25253 1.95791
1013 5.44291 1.87626
1014 5.62664 1.80277
1015 5.80436 1.73664
1016 5.97665 1.67711
1017 6.14396 1.62354
1018 6.30673 1.57533
1019 6.46529 1.53194
1020 6.61996 1.49288
1021 6.77102 1.45773
1022 6.91871 1.4261
1023 7.06324 1.39763
1024 7.20482 1.37201
1025 7.34361 1.34895
1026 7.47979 1.32819
1027 7.61348 1.30952
1028 7.74483 1.2927
1029 7.87395 1.27758
1030 8.00095 1.26396
1031 8.12593 1.2517
1032 8.24899 1.24067
1033 8.37022 2.24067
1034 8.48969 2.13075
1035 8.60748 2.03181
